Type,Vessel_Name,Built,Size_Dwt,Builder,Sold,En_Bloc,Price,Sellers,Buyers,SOx_Scrubber_Fitted,Eco_Engine,Newbuild_Price,Scrap_Price,TCR_6M,TCR_1Yr,TCR_3Yrs,TCR_5Yrs,TCR_1Yr_Class,Age_Yrs,Builder_Country,China,India,Indonesia,Japan,Other,Philippines,South_Korea,Taiwan,Vietnam,Class
Bulk,Medi Baltimore,2005,76469,Tsuneishi Zosen,2019-02-19,0,8.4,"D'Amico Soc di Nav",Clients of Xiamen ITG,0,0,27.5,5.30874,,9875,10375,10375,11500,14,Japan,0,0,0,1,0,0,0,0,0,Panamax
Bulk,Medi Cagliari,2004,75767,Sanoyas,2019-02-19,0,7.9,"D'Amico Soc di Nav",Clients of Xiamen ITG,0,0,27.5,5.30874,,9875,10375,10375,11500,15,Japan,0,0,0,1,0,0,0,0,0,Panamax
Bulk,Amar Meray T,1996,28716,Kanasashi K.K.,2019-02-18,0,4.4,Eastern Star Shpg,Far Eastern interests,0,0,21.55,2.85644,8250,8250,8750,8750,8750,23,Japan,0,0,0,1,0,0,0,0,0,Handysize
Bulk,Alster Bay,2008,55430,Kawasaki HI Kobe,2019-02-15,0,12,Fukujin Shipping,Clients of Diligent Holdings,0,0,26,4.01305,10250,10750,10500,10500,10750,11,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Danae*,2001,75106,Hyundai Samho HI,2019-02-15,0,7.2,Diana Shipping,Greek interests,0,0,27.5,5.30874,,9875,10375,10375,11500,18,South Korea,0,0,0,0,0,0,1,0,0,Panamax
Bulk,Dione*,2001,75172,Hyundai Samho HI,2019-02-15,0,7.2,Diana Shipping,Greek interests,0,0,27.5,5.30874,,9875,10375,10375,11500,18,South Korea,0,0,0,0,0,0,1,0,0,Panamax
Bulk,Maritime Setoshio,2005,55765,Kawasaki HI Kobe,2019-02-15,0,9.67,Nagashiki Shipping,Clients of PT Pelita Samudera,0,0,26,4.01305,10250,10750,10500,10500,10750,14,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Navalis,1998,73056,Sumitomo (Yokosuka),2019-02-15,0,6,Niriis Shipping,U.A.E interests,0,0,27.5,5.30874,,9875,10375,10375,11500,21,Japan,0,0,0,1,0,0,0,0,0,Panamax
Bulk,Pontonikis,2002,74362,Daewoo (DSME),2019-02-15,0,7,Ocean Freighters,Clients of C&D Prosper,0,0,27.5,5.30874,,9875,10375,10375,11500,17,South Korea,0,0,0,0,0,0,1,0,0,Panamax
Bulk,Star Kappa,2001,52055,Sanoyas,2019-02-15,0,6.3,Star Bulk Carriers,Vanguard Maritime,0,0,26,4.01305,10250,10750,10500,10500,10750,18,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Tender Salute,2011,95695,Imabari SB Marugame,2019-02-15,0,17,Misuga Kaiun Co Ltd,Clients of CLdN Cobelfret,0,0,35,,,,,,,8,Japan,0,0,0,1,0,0,0,0,0,no-class
Bulk,Saubaagya 5,2002,53505,Iwagi Zosen,2019-02-14,0,7,"Chettinad Inter'l",Clients of Kaixuan Shpg,0,0,26,4.01305,9250,9750,9750,9750,9750,17,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Paradise Bay,2003,46232,Oshima Shipbuilding,2019-02-05,0,9,Pioneer Marine,Clients of CSL Group,0,0,26,4.01305,9250,9500,9500,9500,9500,16,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Reborn,1999,74063,Hashihama Zosen,2019-01-31,0,6.4,Northstar Maritime,Asian interests,0,0,27.5,5.24428,,10375,10625,10750,12250,20,Japan,0,0,0,1,0,0,0,0,0,Panamax
Bulk,Maritime Newanda,2005,55820,Kawasaki HI Kobe,2019-01-25,0,11,IMC Pan Asia,Clients of PT Pelita Samudera,0,0,26,3.96962,9750,10000,10000,10000,10000,14,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Conti Lapislazuli,2011,57001,Taizhou Sanfu,2019-01-22,0,9.7,Conti Reederei,Clients of Load Line Marine,0,0,26,3.96962,11750,11250,11250,11250,11250,8,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,Grand Amanda,2011,79467,Jinhai Heavy Ind,2019-01-22,0,12.4,HNA Logistics,Undisclosed interests,0,0,27.5,5.24428,,11750,11400,10900,13375,8,China,1,0,0,0,0,0,0,0,0,Panamax
Bulk,Sea Confidence,2005,52677,Oshima Shipbuilding,2019-01-22,0,9.5,Interocean Shpg Co,Hong Kong interests,0,0,26,3.96962,11750,11250,11250,11250,11250,14,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Trade Star,2010,29627,Shikoku Dock.,2019-01-22,0,9.2,Nikko Kisen KK,Undisclosed interests,0,0,21.55,2.82203,9000,9250,9500,9250,9750,9,Japan,0,0,0,1,0,0,0,0,0,Handysize
Bulk,Alice Oldendorff*,2000,50259,Shanghai Shipyard,2019-01-18,1,33.33,Oldendorff Carriers,Clients of Algoma Central Corp,0,0,26,3.96962,11750,11250,11250,11250,11250,19,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,Harmen Oldendorff*,2005,66187,Damen Okean,2019-01-18,1,33.33,Oldendorff Carriers,Clients of Algoma Central Corp,0,0,27.5,5.24428,,11750,11400,10900,13375,14,Other,0,0,0,0,1,0,0,0,0,Panamax
Bulk,Sophie Oldendorff*,2000,70369,Jiangnan Shipyard,2019-01-18,1,33.33,Oldendorff Carriers,Clients of Algoma Central Corp,0,0,27.5,5.24428,,11750,11400,10900,13375,19,China,1,0,0,0,0,0,0,0,0,Panamax
Bulk,Loch Nevis,2016,61272,Toyohashi SB,2019-01-16,0,24.5,MK Ship Management,Clients of Neptune Dry Mgmt,0,1,26,3.96962,12000,11750,11750,11750,11000,3,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Nanning*,2017,38907,Huanghai SB,2019-01-16,0,19.5,China Navigation,Clients of CDB Leasing,0,1,24,2.82203,10000,10000,10000,9250,10000,2,China,1,0,0,0,0,0,0,0,0,Handysize
Bulk,Ninghai*,2017,40064,Huanghai SB,2019-01-16,0,19.5,China Navigation,Clients of CDB Leasing,0,1,24,2.82203,10000,10000,10000,9250,10000,2,China,1,0,0,0,0,0,0,0,0,Handysize
Bulk,Crystal Star,2014,82172,Sanoyas Shipbuilding,2019-01-11,0,24.5,Nissen Kaiun,Clients of Chronos Shipping,0,1,28,5.24428,,13750,13250,12625,13750,5,Japan,0,0,0,1,0,0,0,0,0,Panamax
Bulk,Merlin,2001,50296,Mitsui SB (Tamano),2019-01-11,0,6,Eagle Bulk Shipping,Middle Eastern interests,0,0,26,3.96962,12000,11000,11000,11000,11000,18,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Pacific Future,1998,29534,Dalian Shipyard,2019-01-09,0,3.7,MFH Maritime,Chinese interests,0,0,21.55,2.82203,9500,9500,9500,9250,10250,21,China,1,0,0,0,0,0,0,0,0,Handysize
Bulk,Topaz Halo,2011,55612,Mitsui SB (Tamano),2019-01-08,0,15.4,Nikko Kisen KK,Clients of White Sea Navigation,0,0,26,3.96962,13000,11750,12000,12000,11750,8,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Uniorder,1997,47240,Oshima Shipbuilding,2019-01-08,0,4.5,Uniwise Marine,Undisclosed interests,0,0,26,3.96962,13000,11750,12000,12000,11750,22,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Berni*,1991,77499,Daewoo (DSME),2019-01-04,1,6.75,Oldendorff Carriers,Undisclosed interests,0,0,27.5,5.24428,,12900,12125,11125,14500,28,South Korea,0,0,0,0,0,0,1,0,0,Panamax
Bulk,Carol*,1990,77549,Daewoo (DSME),2019-01-04,1,6.75,Oldendorff Carriers,Undisclosed interests,0,0,27.5,5.24428,,12900,12125,11125,14500,29,South Korea,0,0,0,0,0,0,1,0,0,Panamax
Bulk,North Quay*,2010,57081,Ningbo Lantian SB,2019-01-04,1,9.5,Schulte Group,Clients of Shanghai Xunyuan,0,0,26,3.96962,13000,11750,12000,12000,11750,9,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,Salford Quay*,2011,56956,Taizhou Sanfu,2019-01-04,1,9.5,Zeaborn Ship Mngt,Clients of Shanghai Xunyuan,0,0,26,3.96962,13000,11750,12000,12000,11750,8,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,Jin Zhou,2001,50209,Mitsui SB (Chiba),2019-01-03,0,7.3,Jinhui Shpg & Trans,Chinese interests,0,0,26,3.96962,13000,12250,12500,12250,12250,18,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Ocean Colossus,2010,58831,Kawasaki HI Kobe,2019-01-03,0,15,K-Line Pte Ltd,Greek interests,0,0,26,3.96962,13000,12250,12500,12250,12250,9,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Tigris,2003,52454,Tsuneishi Zosen,2019-01-03,0,8,Niovis Shipping,Clients of Taylor Maritime,0,0,26,3.96962,13000,12250,12500,12250,12250,16,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,AEC Belief,2004,33540,Shin Kurushima,2018-12-31,0,9,AEC Carriers,Clients of Tan Binh Co,0,0,21.55,2.88876,9500,9500,9500,9250,10000,14,Japan,0,0,0,1,0,0,0,0,0,Handysize
Bulk,Padmini,2012,75700,Guangzhou Huangpu,2018-12-28,0,12.5,APOL,Greek interests,0,0,27.5,5.24428,,12900,12125,11125,14500,6,China,1,0,0,0,0,0,0,0,0,Panamax
Bulk,Grand Marais*,2016,35093,CSC Jiangdong,2018-12-27,0,16.2,CarVal Investors,Clients of Alliance Maritime,0,1,24,2.88876,10000,10000,10000,9750,10000,2,China,1,0,0,0,0,0,0,0,0,Handysize
Bulk,Kavala Seas*,2011,56830,CSC Jiangdong,2018-12-27,1,12,Allseas Marine,Chinese interests,0,0,26,4.08408,13000,12250,12500,12250,12250,7,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,North Star*,2016,35000,CSC Jiangdong,2018-12-27,0,16.2,CarVal Investors,Clients of Alliance Maritime,0,1,24,2.88876,10000,10000,10000,9750,10000,2,China,1,0,0,0,0,0,0,0,0,Handysize
Bulk,Paros Seas*,2011,56780,CSC Jiangdong,2018-12-27,1,12,Allseas Marine,Chinese interests,0,0,26,4.08408,13000,12250,12500,12250,12250,7,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,SSI Expedition,2010,56971,Zhejiang Zhenghe SB,2018-12-21,0,12.4,"Densay Shpg & T'dg",Chinese interests,0,0,26,4.08408,13000,12250,12500,12250,12250,8,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,Atlantica Sun,2019,82020,Jiangsu Hantong HI,2018-12-18,0,26,Atlantica Shipping,Undisclosed interests,0,1,28,5.24428,,14500,13625,12750,14500,-1,China,1,0,0,0,0,0,0,0,0,Panamax
