DATE,TTM_10
1961-06-14,0.0388156711914929
1961-06-15,0.0393994876268691
1961-06-16,0.0394454275710014
1961-06-19,0.0396725839606948
1961-06-20,0.0394541111131126
1961-06-21,0.0396324875479512
1961-06-22,0.0395602411170453
1961-06-23,0.0395694688125743
1961-06-26,0.0395626981543058
1961-06-27,0.0396484671871802
1961-06-28,0.0397264773008366
1961-06-29,0.0397469115134061
1961-06-30,0.0394633847901211
1961-07-03,0.0394629483485314
1961-07-05,0.0396822597362332
1961-07-06,0.0397462438828353
1961-07-07,0.0399233890683417
1961-07-10,0.0400223171273506
1961-07-11,0.0400466067420648
1961-07-12,0.0401111480884933
1961-07-13,0.0400222641618824
1961-07-14,0.0402853429624417
1961-07-17,0.0400590468324926
1961-07-18,0.0400857886308084
1961-07-19,0.0399790777002118
1961-07-20,0.0397010917531557
1961-07-21,0.0396417374383722
1961-07-24,0.0397468070644884
1961-07-25,0.0401464150262525
1961-07-26,0.040229356213443
1961-07-27,0.0405782098369263
1961-07-28,0.0405535235963868
1961-07-31,0.0410617064842798
1961-08-01,0.0407940876411803
1961-08-02,0.0410413144738631
1961-08-03,0.0415566038287609
1961-08-04,0.0415240669238901
1961-08-07,0.042206293992151
1961-08-08,0.0426317701900167
1961-08-09,0.042571560863083
1961-08-10,0.0424268103708638
1961-08-11,0.0421634454547661
1961-08-14,0.0421677097320383
1961-08-15,0.0421356951127259
1961-08-16,0.0419260488752171
1961-08-17,0.0415059038226424
1961-08-18,0.0410392101860768
1961-08-21,0.041053443940841
1961-08-22,0.0409796832707436
1961-08-23,0.0410966798349846
1961-08-24,0.0410240331020855
1961-08-25,0.0410158054158125
1961-08-28,0.0409323429355866
1961-08-29,0.0409440972993245
1961-08-30,0.041040968083504
1961-08-31,0.0414501415822421
1961-09-01,0.0413457853514199
1961-09-05,0.0413497388050847
1961-09-06,0.0412468335126399
1961-09-07,0.041243791714171
1961-09-08,0.0413474332040864
1961-09-11,0.041207964368362
1961-09-12,0.0412115839108165
1961-09-13,0.0410856775056803
1961-09-14,0.0410353063686573
1961-09-15,0.0409387067164935
1961-09-18,0.0408916814886573
1961-09-19,0.0407149254697339
1961-09-20,0.040626182165548
1961-09-21,0.0402297655644031
1961-09-22,0.0401552438666182
1961-09-25,0.0400360666730184
1961-09-26,0.0395649483560732
1961-09-27,0.0396562687654485
1961-09-28,0.0396941792562757
1961-09-29,0.0397951554969853
1961-10-02,0.0398460681359132
1961-10-03,0.0399362432311006
1961-10-04,0.0393151560397371
1961-10-05,0.0390892178652544
1961-10-06,0.0392476924297431
1961-10-09,0.0392353020695273
1961-10-10,0.0388922821120867
1961-10-11,0.0391242002753955
1961-10-13,0.0390485565353822
1961-10-16,0.0389810061716962
1961-10-17,0.0387471061901701
1961-10-18,0.0386661023047559
1961-10-19,0.038654077240724
1961-10-20,0.0384754736473909
1961-10-23,0.0384579386936206
1961-10-24,0.0382843671425039
1961-10-25,0.0378282232941387
1961-10-26,0.03802874186225
1961-10-27,0.0387134692700644
1961-10-30,0.0387489959526979
1961-10-31,0.0400792368425984
1961-11-01,0.0392806842793705
1961-11-02,0.0388395869109044
1961-11-03,0.0389280160776038
1961-11-06,0.0392231470378193
1961-11-08,0.0395792065145792
1961-11-09,0.0388072094299925
1961-11-10,0.0384753004565981
1961-11-13,0.0386400600906298
1961-11-14,0.0379337276779399
1961-11-15,0.0388469979200621
1961-11-16,0.0387553494515527
1961-11-17,0.038863631592871
1961-11-20,0.0383582586566491
1961-11-21,0.0379756765868118
1961-11-22,0.0373604602236666
1961-11-24,0.0374585379672567
1961-11-27,0.0371561766637789
1961-11-28,0.0374118658812355
1961-11-29,0.0371795052612518
1961-11-30,0.0393670877076466
1961-12-01,0.0378251911457743
1961-12-04,0.0372593315773659
1961-12-05,0.0374861851708599
1961-12-06,0.0379896011028902
1961-12-07,0.0377657663192197
1961-12-08,0.0378450374181716
1961-12-11,0.0377621155750771
1961-12-12,0.0373265435189869
1961-12-13,0.0378484058450299
1961-12-14,0.0380379359243022
1961-12-15,0.0382860986007667
1961-12-18,0.0382691413290197
1961-12-19,0.0382684511860594
1961-12-20,0.0378336073997745
1961-12-21,0.0377910426408881
1961-12-22,0.0385873974953912
1961-12-26,0.0388427539635299
1961-12-27,0.0389064621409478
1961-12-28,0.0376045914879082
1961-12-29,0.0387378241609504
1962-01-02,0.0367369440558551
1962-01-03,0.0364332860472414
1962-01-04,0.0360410754377394
1962-01-05,0.0366667716921532
1962-01-08,0.0380575319967265
1962-01-09,0.0377546877284203
1962-01-10,0.0380626891246834
1962-01-11,0.0380168728270391
1962-01-12,0.0392942800901592
1962-01-15,0.0396661176536912
1962-01-16,0.0400079459598808
1962-01-17,0.0399144157365827
1962-01-18,0.039963836977323
1962-01-19,0.0401402699285018
1962-01-22,0.0401506757518846
1962-01-23,0.0401196034831441
1962-01-24,0.0400714976490657
1962-01-25,0.0402773196059303
1962-01-26,0.0406969678735347
1962-01-29,0.0409966510585438
1962-01-30,0.0410591814398873
1962-01-31,0.0410888070683226
1962-02-01,0.0411380776293981
1962-02-02,0.0410800161442082
1962-02-05,0.0406443254152451
1962-02-06,0.0406199083795367
1962-02-07,0.0405449695313573
1962-02-08,0.0401442427504541
1962-02-09,0.0402290182687348
1962-02-13,0.0398910021987047
1962-02-14,0.0396797455773206
1962-02-15,0.0400933568206299
1962-02-16,0.0400689845673634
1962-02-19,0.0397595475728605
1962-02-20,0.0397247845451898
1962-02-21,0.0395881126478583
1962-02-23,0.0392602515487062
1962-02-26,0.0392649826082501
